task_id;group;row_count;participant_count;task_count;group_count;TTU_total;TTU_average;DOU_total;DOU_average;TTU_count;TTU_participant_totals;DOU_count;DOU_participant_totals
16;Dynamic sketch construction;7;7;1;1;531;75.85714285714286;6.125;0.875;7;"[[""D"", ""p03"", 42.0], [""D"", ""p04"", 65.0], [""D"", ""p05"", 50.0], [""D"", ""p06"", 134.0], [""D"", ""p07"", 123.0], [""D"", ""p20"", 76.0], [""D"", ""p38"", 41.0]]";7;"[[""D"", ""p03"", 0.875], [""D"", ""p04"", 0.875], [""D"", ""p05"", 0.875], [""D"", ""p06"", 0.875], [""D"", ""p07"", 0.875], [""D"", ""p20"", 0.875], [""D"", ""p38"", 0.875]]"
16;Formula construction;7;7;1;1;389;55.57142857142857;5.875;0.8392857142857143;7;"[[""F"", ""p01"", 86.0], [""F"", ""p21"", 43.0], [""F"", ""p26"", 29.0], [""F"", ""p27"", 71.0], [""F"", ""p31"", 69.0], [""F"", ""p33"", 45.0], [""F"", ""p34"", 46.0]]";7;"[[""F"", ""p01"", 0.875], [""F"", ""p21"", 0.75], [""F"", ""p26"", 0.75], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.875], [""F"", ""p33"", 0.75], [""F"", ""p34"", 0.875]]"
16;Static sketch construction;7;7;1;1;265;37.857142857142854;5.375;0.7678571428571429;7;"[[""S"", ""p02"", 58.0], [""S"", ""p09"", 18.0], [""S"", ""p11"", 22.0], [""S"", ""p14"", 78.0], [""S"", ""p15"", 40.0], [""S"", ""p28"", 32.0], [""S"", ""p30"", 17.0]]";7;"[[""S"", ""p02"", 0.875], [""S"", ""p09"", 0.75], [""S"", ""p11"", 0.625], [""S"", ""p14"", 0.625], [""S"", ""p15"", 0.75], [""S"", ""p28"", 0.875], [""S"", ""p30"", 0.875]]"
17;Dynamic sketch construction;7;7;1;1;417;59.57142857142857;5.857142857142857;0.8367346938775511;7;"[[""D"", ""p03"", 63.0], [""D"", ""p04"", 41.0], [""D"", ""p05"", 63.0], [""D"", ""p06"", 48.0], [""D"", ""p07"", 70.0], [""D"", ""p20"", 37.0], [""D"", ""p38"", 95.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 0.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 0.8571428571428571]]"
17;Formula construction;7;7;1;1;546;78.0;6.142857142857143;0.8775510204081632;7;"[[""F"", ""p01"", 100.0], [""F"", ""p21"", 69.0], [""F"", ""p26"", 24.0], [""F"", ""p27"", 28.0], [""F"", ""p31"", 245.0], [""F"", ""p33"", 46.0], [""F"", ""p34"", 34.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 0.4285714285714285], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 0.8571428571428571], [""F"", ""p33"", 0.8571428571428571], [""F"", ""p34"", 1.0]]"
17;Static sketch construction;7;7;1;1;450;64.28571428571429;6.142857142857142;0.8775510204081632;7;"[[""S"", ""p02"", 22.0], [""S"", ""p09"", 92.0], [""S"", ""p11"", 39.0], [""S"", ""p14"", 162.0], [""S"", ""p15"", 94.0], [""S"", ""p28"", 28.0], [""S"", ""p30"", 13.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 0.5714285714285714], [""S"", ""p15"", 0.8571428571428571], [""S"", ""p28"", 0.7142857142857143], [""S"", ""p30"", 1.0]]"
2;Dynamic sketch construction;7;7;1;1;158;22.571428571428573;6.75;0.9642857142857143;7;"[[""D"", ""p03"", 19.0], [""D"", ""p04"", 22.0], [""D"", ""p05"", 33.0], [""D"", ""p06"", 31.0], [""D"", ""p07"", 21.0], [""D"", ""p20"", 14.0], [""D"", ""p38"", 18.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 0.75], [""D"", ""p38"", 1.0]]"
2;Formula construction;7;7;1;1;131;18.714285714285715;7.0;1.0;7;"[[""F"", ""p01"", 26.0], [""F"", ""p21"", 27.0], [""F"", ""p26"", 14.0], [""F"", ""p27"", 15.0], [""F"", ""p31"", 16.0], [""F"", ""p33"", 18.0], [""F"", ""p34"", 15.0]]";7;"[[""F"", ""p01"", 1.0], [""F"", ""p21"", 1.0], [""F"", ""p26"", 1.0], [""F"", ""p27"", 1.0], [""F"", ""p31"", 1.0], [""F"", ""p33"", 1.0], [""F"", ""p34"", 1.0]]"
2;Static sketch construction;7;7;1;1;98;14.0;7.0;1.0;7;"[[""S"", ""p02"", 18.0], [""S"", ""p09"", 25.0], [""S"", ""p11"", 8.0], [""S"", ""p14"", 9.0], [""S"", ""p15"", 8.0], [""S"", ""p28"", 16.0], [""S"", ""p30"", 14.0]]";7;"[[""S"", ""p02"", 1.0], [""S"", ""p09"", 1.0], [""S"", ""p11"", 1.0], [""S"", ""p14"", 1.0], [""S"", ""p15"", 1.0], [""S"", ""p28"", 1.0], [""S"", ""p30"", 1.0]]"
3;Dynamic sketch construction;7;7;1;1;190;27.142857142857142;7.0;1.0;7;"[[""D"", ""p03"", 17.0], [""D"", ""p04"", 21.0], [""D"", ""p05"", 23.0], [""D"", ""p06"", 32.0], [""D"", ""p07"", 27.0], [""D"", ""p20"", 48.0], [""D"", ""p38"", 22.0]]";7;"[[""D"", ""p03"", 1.0], [""D"", ""p04"", 1.0], [""D"", ""p05"", 1.0], [""D"", ""p06"", 1.0], [""D"", ""p07"", 1.0], [""D"", ""p20"", 1.0], [""D"", ""p38"", 1.0]]"
