participant;task_id;group;TTU;DOU;structural_aspects;video_length_in_s;timestamp_where_participant_realizes;TTU_second_coder;DOU_second_coder;timestamp_where_participant_realizes_second_coder
p38;4;Dynamic sketch construction;38;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;156.0;37.0;1.0;156.0
p06;4;Dynamic sketch construction;35;1.0;['COMP', 'CELL', 'VAL', 'FORWARD', 'ON'];12;208.0;35.0;1.0;209.0
p01;5;Formula construction;51;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;394.0;49.0;1.0;392.0
p31;5;Formula construction;70;0.25;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;283.0;71.0;0.0;283.0
p34;5;Formula construction;21;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;130.0;21.0;1.0;131.0
p33;5;Formula construction;7;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;123.0;7.0;1.0;123.0
p26;5;Formula construction;11;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;225.0;10.0;1.0;224.0
p21;5;Formula construction;47;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;286.0;45.0;1.0;285.0
p27;5;Formula construction;30;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;177.0;32.0;1.0;178.0
p11;5;Static sketch construction;9;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;91.0;15.0;0.75;98.0
p30;5;Static sketch construction;18;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;123.0;17.0;1.0;124.0
p28;5;Static sketch construction;27;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;177.0;12.0;1.0;162.0
p09;5;Static sketch construction;9;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;156.0;8.0;1.0;154.0
p14;5;Static sketch construction;14;0.25;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;120.0;13.0;0.625;120.0
p15;5;Static sketch construction;15;0.25;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;133.0;10.0;0.75;128.0
p02;5;Static sketch construction;46;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;231.0;47.0;1.0;232.0
p03;5;Dynamic sketch construction;22;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;350.0;22.0;1.0;350.0
p05;5;Dynamic sketch construction;74;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;222.0;75.0;1.0;223.0
p04;5;Dynamic sketch construction;23;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;175.0;15.0;1.0;167.0
p20;5;Dynamic sketch construction;26;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;266.0;21.0;1.0;261.0
p07;5;Dynamic sketch construction;32;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;206.0;30.0;1.0;205.0
p38;5;Dynamic sketch construction;25;0.75;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;187.0;26.0;1.0;188.0
p06;5;Dynamic sketch construction;33;1.0;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];13;247.0;34.0;1.0;248.0
p01;6;Formula construction;64;0.8;['RANGE', 'FUNC', 'VAL', 'BACK', 'ON'];12;459.0;60.0;0.9;455.0
