stratum,outcome,group,n,median,q1,q3,mean,sd,CLD
Aspect COMP,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect COMP,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect COMP,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Aspect COND,TTU,Dynamic sketch construction,7,56.5,54.75,71.0,63.714285714285715,12.502856816401145,a
Aspect COND,TTU,Formula construction,7,51.5,44.0,73.75,74.14285714285714,60.25758201650802,a
Aspect COND,TTU,Static sketch construction,7,51.0,32.5,86.5,59.07142857142857,36.139116124854446,a
Aspect COND,DOU,Dynamic sketch construction,7,0.9375,0.9375,0.96875,0.9553571428571429,0.030496877279641673,a
Aspect COND,DOU,Formula construction,7,0.8660714285714286,0.7142857142857143,0.9460227272727273,0.8334879406307978,0.1406068372104609,a
Aspect COND,DOU,Static sketch construction,7,0.9375,0.8563311688311688,0.96875,0.8836966604823748,0.13936613011337826,a
Aspect LOOK,TTU,Dynamic sketch construction,7,65.0,50.0,87.5,69.0,24.00694344004112,a
Aspect LOOK,TTU,Formula construction,7,90.0,53.0,93.5,103.28571428571429,84.79527165613715,a
Aspect LOOK,TTU,Static sketch construction,7,58.0,35.0,69.5,59.714285714285715,35.817659916649525,a
Aspect LOOK,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect LOOK,DOU,Formula construction,7,0.875,0.5,0.9090909090909092,0.6704545454545455,0.36330714263527375,b
Aspect LOOK,DOU,Static sketch construction,7,1.0,0.9,1.0,0.9178571428571428,0.14910446960820073,ab
Aspect CELL,TTU,Dynamic sketch construction,7,40.0,34.0,45.0,39.42857142857143,8.599557020706412,a
Aspect CELL,TTU,Formula construction,7,39.0,29.5,50.0,38.142857142857146,13.60672102833218,a
Aspect CELL,TTU,Static sketch construction,7,33.0,26.0,38.0,35.0,12.503332889007368,a
Aspect CELL,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect CELL,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect CELL,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Aspect RANGE,TTU,Dynamic sketch construction,7,44.0,40.0,47.5,43.285714285714285,5.6484300389366515,a
Aspect RANGE,TTU,Formula construction,7,39.0,33.5,54.5,51.142857142857146,32.860455319571024,a
Aspect RANGE,TTU,Static sketch construction,7,40.0,23.0,48.5,37.714285714285715,17.046155829729724,a
Aspect RANGE,DOU,Dynamic sketch construction,7,1.0,0.9444444444444444,1.0,0.963718820861678,0.06263595155071716,a
Aspect RANGE,DOU,Formula construction,7,1.0,0.8888888888888888,1.0,0.9478458049886621,0.06590283363790574,a
Aspect RANGE,DOU,Static sketch construction,7,1.0,0.8660714285714286,1.0,0.9141156462585034,0.12616881472406694,a
Aspect LIT,TTU,Dynamic sketch construction,7,39.5,34.25,45.75,40.214285714285715,7.702040545948105,a
Aspect LIT,TTU,Formula construction,7,38.5,30.5,57.75,43.42857142857143,20.75537796056035,a
Aspect LIT,TTU,Static sketch construction,7,47.5,24.75,62.0,45.214285714285715,24.82750011388102,a
Aspect LIT,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,0.9910714285714286,0.023622779563076686,a
Aspect LIT,DOU,Formula construction,7,0.8375,0.7926136363636364,0.9772727272727273,0.8753246753246753,0.10721780960905353,a
Aspect LIT,DOU,Static sketch construction,7,0.9375,0.9017857142857143,1.0,0.9247448979591837,0.09819495790032026,a
Aspect FUNC,TTU,Dynamic sketch construction,7,48.0,42.0,58.0,50.714285714285715,11.36829341801553,a
Aspect FUNC,TTU,Formula construction,7,39.0,30.5,70.0,59.0,44.57203906785807,a
Aspect FUNC,TTU,Static sketch construction,7,46.0,29.5,60.5,46.0,21.54839514519198,a
Aspect FUNC,DOU,Dynamic sketch construction,7,0.8888888888888888,0.8819444444444444,1.0,0.9299886621315192,0.06634933970916809,a
Aspect FUNC,DOU,Formula construction,7,0.9090909090909092,0.8375,1.0,0.9088383838383839,0.09582892485302058,a
Aspect FUNC,DOU,Static sketch construction,7,0.875,0.8660714285714286,0.9444444444444444,0.8744331065759637,0.1253392258423175,a
Aspect VAL,TTU,Dynamic sketch construction,7,35.5,28.25,39.5,34.285714285714285,6.382640146373227,a
Aspect VAL,TTU,Formula construction,7,39.0,31.0,50.0,38.285714285714285,14.12107509734163,a
Aspect VAL,TTU,Static sketch construction,7,26.0,22.75,38.5,29.642857142857142,10.334869317486497,a
Aspect VAL,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect VAL,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect VAL,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,c
Aspect BATCH,TTU,Dynamic sketch construction,7,54.0,41.0,60.0,50.857142857142854,12.415428190072912,a
Aspect BATCH,TTU,Formula construction,7,61.0,42.5,62.5,55.0,17.540429489230497,a
Aspect BATCH,TTU,Static sketch construction,7,43.0,30.5,57.5,51.57142857142857,34.282440319873885,a
Aspect BATCH,DOU,Dynamic sketch construction,7,1.0,0.9285714285714286,1.0,0.9183673469387755,0.16198477414681167,a
Aspect BATCH,DOU,Formula construction,7,1.0,0.2857142857142857,1.0,0.6938775510204082,0.3818017741606063,a
Aspect BATCH,DOU,Static sketch construction,7,1.0,0.8571428571428572,1.0,0.8979591836734694,0.17908090586514533,a
Aspect LIST,TTU,Dynamic sketch construction,7,56.5,54.75,79.5,67.71428571428571,18.57609831400094,a
Aspect LIST,TTU,Formula construction,7,49.5,42.75,74.5,221.07142857142858,448.4545153981086,a
Aspect LIST,TTU,Static sketch construction,7,40.0,30.25,61.0,51.07142857142857,34.90753091076071,a
Aspect LIST,DOU,Dynamic sketch construction,7,0.9375,0.9017857142857143,0.9375,0.8558673469387755,0.18639331644653412,a
Aspect LIST,DOU,Formula construction,7,0.875,0.8348214285714286,0.9375,0.8584183673469388,0.13436719557194673,a
Aspect LIST,DOU,Static sketch construction,7,0.8125,0.7991071428571429,0.90625,0.8227040816326531,0.11600599935057478,a
Aspect BACK,TTU,Dynamic sketch construction,7,34.5,28.25,37.75,33.642857142857146,5.899959644736886,a
Aspect BACK,TTU,Formula construction,7,36.0,30.0,47.0,36.57142857142857,13.15747117112736,a
Aspect BACK,TTU,Static sketch construction,7,26.5,22.25,33.75,28.071428571428573,8.946268176492044,a
Aspect BACK,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect BACK,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect BACK,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9857142857142858,0.03779644730092272,ab
Aspect FORWARD,TTU,Dynamic sketch construction,7,47.0,41.5,50.5,46.142857142857146,6.841748592978538,a
Aspect FORWARD,TTU,Formula construction,7,51.0,45.5,61.5,55.142857142857146,20.440389521961755,a
Aspect FORWARD,TTU,Static sketch construction,7,52.0,30.5,66.5,49.57142857142857,20.91934625219076,a
Aspect FORWARD,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect FORWARD,DOU,Formula construction,7,1.0,0.9375,1.0,0.9464285714285714,0.0983494740586804,a
Aspect FORWARD,DOU,Static sketch construction,7,1.0,1.0,1.0,0.979591836734694,0.053994924715603916,a
Aspect ON,TTU,Dynamic sketch construction,7,35.5,28.75,38.25,34.142857142857146,5.814595756329394,a
Aspect ON,TTU,Formula construction,7,38.0,31.0,46.0,36.92857142857143,13.02698664129126,a
Aspect ON,TTU,Static sketch construction,7,26.5,21.25,32.75,27.428571428571427,8.762745818846641,a
Aspect ON,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect ON,DOU,Formula construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect ON,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9857142857142858,0.03779644730092272,ab
Aspect OFF,TTU,Dynamic sketch construction,7,45.0,41.5,47.0,44.714285714285715,5.618845839799182,a
Aspect OFF,TTU,Formula construction,7,35.0,27.0,44.0,40.42857142857143,27.68788629742342,a
Aspect OFF,TTU,Static sketch construction,7,52.0,36.0,64.5,50.57142857142857,20.735293124341915,a
Aspect OFF,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect OFF,DOU,Formula construction,7,1.0,1.0,1.0,0.9761904761904763,0.0629940788348712,ab
Aspect OFF,DOU,Static sketch construction,7,1.0,1.0,1.0,1.0,0.0,b
Aspect CROSS,TTU,Dynamic sketch construction,7,47.5,41.0,51.75,46.0,8.66506395437064,a
Aspect CROSS,TTU,Formula construction,7,49.0,46.75,60.5,66.21428571428571,45.935513805458065,a
Aspect CROSS,TTU,Static sketch construction,7,46.0,33.75,65.25,50.57142857142857,23.159642648776938,a
Aspect CROSS,DOU,Dynamic sketch construction,7,1.0,1.0,1.0,1.0,0.0,a
Aspect CROSS,DOU,Formula construction,7,1.0,0.9642857142857143,1.0,0.9612244897959183,0.07591361260803695,a
Aspect CROSS,DOU,Static sketch construction,7,1.0,1.0,1.0,0.9897959183673469,0.02699746235780194,a
